Dept,Specialty,Value
MEDICINE,DERMATOLOGY,13
MEDICINE,ENDOCRINOLOGY,24
MEDICINE,GASTROENTEROLOGY,77
MEDICINE,GENERAL INTERNAL,45
MEDICINE,MEDICINE,44
MEDICINE,GERIATRIC MEDICINE,53
MEDICINE,INFECTIOUS DISEASES,23
MEDICINE,MEDICAL ONCOLOGY,24
MEDICINE,NEPHROLOGY,35
MEDICINE,NEUROLOGY,63
MEDICINE,OBSTETRICAL MEDICINE,23
MEDICINE,PHYSICAL MEDICINE AND,46
MEDICINE,REHABILITATION,23
MEDICINE,RESPIROLOGY,24
MEDICINE,RHEUMATOLOGY,35
PSYCHIATRY,GENERAL,35
PSYCHIATRY,GERIATRICS,32
PSYCHIATRY,YOUTH,23
SURGERY,CARDIAC SURGERY,37
SURGERY,GENERAL SURGERY,24
SURGERY,NEUROSURGERY,64
SURGERY,ORTHOPAEDIC SURGERY,35
SURGERY,PLASTIC SURGERY,55
SURGERY,UROLOGY,56
SURGERY,VASCULAR SURGERY,78
MEDICINE,CARDIOLOGY,15
MEDICINE,DERMATOLOGY,13
MEDICINE,ENDOCRINOLOGY,24
MEDICINE,GASTROENTEROLOGY,77
MEDICINE,GENERAL INTERNAL,45
MEDICINE,MEDICINE,44
MEDICINE,GERIATRIC MEDICINE,53
MEDICINE,INFECTIOUS DISEASES,23
MEDICINE,MEDICAL ONCOLOGY,24
MEDICINE,NEPHROLOGY,35
MEDICINE,NEUROLOGY,63
MEDICINE,OBSTETRICAL MEDICINE,23
MEDICINE,PHYSICAL MEDICINE AND,46
MEDICINE,REHABILITATION,23
MEDICINE,RESPIROLOGY,24
MEDICINE,RHEUMATOLOGY,35
PSYCHIATRY,GENERAL,35
PSYCHIATRY,GERIATRICS,32
PSYCHIATRY,YOUTH,23
SURGERY,CARDIAC SURGERY,37
SURGERY,GENERAL SURGERY,24
SURGERY,NEUROSURGERY,64
SURGERY,ORTHOPAEDIC SURGERY,35
SURGERY,PLASTIC SURGERY,55
SURGERY,UROLOGY,56
SURGERY,VASCULAR SURGERY,78
